"ts","starttime","detectorid","volume","speed","occupancy","status","dqflags"
1316197080,"2011-09-16 11:18:00-07",1346,7,57,20,2,0
1316197100,"2011-09-16 11:18:20-07",1346,4,72,6,2,0
1316197120,"2011-09-16 11:18:40-07",1346,6,56,5,2,0
1316197140,"2011-09-16 11:19:00-07",1346,8,48,15,2,0
1316197160,"2011-09-16 11:19:20-07",1346,8,62,11,2,0
1316197180,"2011-09-16 11:19:40-07",1346,5,64,7,2,0
1316197200,"2011-09-16 11:20:00-07",1346,7,54,9,2,0
1316197220,"2011-09-16 11:20:20-07",1346,7,63,7,2,0
1316197240,"2011-09-16 11:20:40-07",1346,6,56,12,2,0
1316197260,"2011-09-16 11:21:00-07",1346,7,48,15,2,0
1316197280,"2011-09-16 11:21:20-07",1346,3,71,5,2,0
1316197300,"2011-09-16 11:21:40-07",1346,6,57,10,2,0
1316197320,"2011-09-16 11:22:00-07",1346,10,73,11,2,0
1316197340,"2011-09-16 11:22:20-07",1346,6,63,6,2,0
1316197360,"2011-09-16 11:22:40-07",1346,6,73,12,2,0
1316197380,"2011-09-16 11:23:00-07",1346,7,59,8,2,0
1316197400,"2011-09-16 11:23:20-07",1346,5,66,5,2,0
1316197420,"2011-09-16 11:23:40-07",1346,3,71,8,2,0
1316197440,"2011-09-16 11:24:00-07",1346,11,61,14,2,0
1316197460,"2011-09-16 11:24:20-07",1346,5,64,9,2,0
1316197480,"2011-09-16 11:24:40-07",1346,6,63,15,2,0
1316197500,"2011-09-16 11:25:00-07",1346,7,46,9,2,0
1316197520,"2011-09-16 11:25:20-07",1346,6,69,8,2,0
1316197540,"2011-09-16 11:25:40-07",1346,7,61,9,2,0
1316197560,"2011-09-16 11:26:00-07",1346,7,72,9,2,0
1316197580,"2011-09-16 11:26:20-07",1346,8,74,13,2,0
1316197600,"2011-09-16 11:26:40-07",1346,9,63,14,2,0
1316197620,"2011-09-16 11:27:00-07",1346,6,58,13,2,0
1316197640,"2011-09-16 11:27:20-07",1346,6,65,8,2,0
1316197660,"2011-09-16 11:27:40-07",1346,6,55,17,2,0
1316197680,"2011-09-16 11:28:00-07",1346,5,48,9,2,0
1316197700,"2011-09-16 11:28:20-07",1346,11,58,18,2,0
1316197720,"2011-09-16 11:28:40-07",1346,6,63,6,2,0
1316197740,"2011-09-16 11:29:00-07",1346,7,61,11,2,0
1316197760,"2011-09-16 11:29:20-07",1346,6,51,8,2,0
1316197780,"2011-09-16 11:29:40-07",1346,7,63,14,2,0
1316197800,"2011-09-16 11:30:00-07",1346,3,67,3,2,0
1316197820,"2011-09-16 11:30:20-07",1346,12,61,12,2,0
1316197840,"2011-09-16 11:30:40-07",1346,6,73,7,2,0
1316197860,"2011-09-16 11:31:00-07",1346,11,60,18,2,0
1316197880,"2011-09-16 11:31:20-07",1346,9,64,16,2,0
1316197900,"2011-09-16 11:31:40-07",1346,5,58,11,2,0
